Sat.A1ModJulian           Sat.UTCModJulian          Sat.X                     Sat.Y                     Sat.Z                     Sat.VX                    Sat.VY                    Sat.VZ                    
30311.05528974979         30311.05486111111         2191.951110930411         964.475232483411          -6653.121232829532        7.132934795313053         -0.3261676492366352       2.304923188255871         
30311.05598419423         30311.05555555555         2615.211915576996         942.9701355756507         -6501.445662915077        6.970998413051026         -0.3904307738094713       2.749245035705568         
30311.05667863868         30311.05625               3027.906351746114         917.6546876415131         -6323.431742940312        6.780837345364157         -0.4531366902248971       3.182572521127915         
30311.05737308312         30311.05694444444         3428.362726666579         888.6299396113774         -6119.791929752181        6.563196437299029         -0.5140324848556459       3.603153095154841         
30311.05806752756         30311.05763888889         3814.957359393581         856.0119221611099         -5891.342460693827        6.318930902958473         -0.5728718979997864       4.009280982325484         
30311.05876197201         30311.05833333333         4186.121143790797         819.9312180332881         -5639.000356266395        6.049004340905276         -0.6294162912403939       4.399303663863695         
30311.05945641645         30311.05902777778         4540.345980766278         780.5324734648116         -5363.78001192925         5.754486213670694         -0.6834356946548844       4.771629062307176         
30311.0601508609          30311.05972222222         4876.19102697865          737.9738476167556         -5066.789350264805        5.436548223174518         -0.7347098019111525       5.124732875090902         
30311.06084530534         30311.06041666667         5192.288697547257         692.4264064457021         -4749.225547374624        5.096459833831832         -0.7830288250942606       5.457165355838791         
30311.06153974979         30311.06111111111         5487.350390262649         644.0734680396098         -4412.370372832339        4.735583549048014         -0.8281942818094142       5.767557460341489         
30311.06223419423         30311.06180555556         5760.171925188293         593.1098988465424         -4057.585169686           4.355370124078846         -0.8700198670646561       6.054626774212111         
30311.06292863868         30311.0625                6009.638687312942         539.7413532740383         -3686.305477793405        3.957353382438131         -0.9083324628247204       6.317183477118816         
30311.06362308312         30311.06319444444         6234.730437665555         484.1834511919464         -3300.035302033148        3.543144326416958         -0.9429731683991684       6.554136161999081         
30311.06431752757         30311.06388888889         6434.525750682395         426.6608976045109         -2900.34104336818         3.114424604960588         -0.9737981716347109       6.764497220549551         
30311.06501197201         30311.06458333333         6608.206046310113         367.4065573767829         -2488.845122054711        2.672939568347909         -1.00067937455351         6.947387727541537         
30311.06570641646         30311.06527777778         6755.059195524444         306.6604984875563         -2067.219321095583        2.220490990755386         -1.023504837925271        7.102041889139914         
30311.0664008609          30311.06597222222         6874.482677934329         244.6690103726117         -1637.177876198235        1.758929407963024         -1.042179192258762        7.227811029138532         
30311.06709530534         30311.06666666667         6965.986267572602         181.6835955319063         -1200.470343071982        1.290146057074416         -1.056624128487605        7.324167009232565         
30311.06778974979         30311.06736111111         7029.194223971018         117.9599291320025         -758.8742780838575        0.8160644499279038        -1.066778960948463        7.390705024325692         
30311.06848419423         30311.06805555556         7063.846966984746         53.75678581669155         -314.1877713346988        0.3386315966349879        -1.072601127818138        7.427145707356895         
30311.06917863867         30311.06875               7069.802217160656         -10.66505721942276        131.7781219465369         -0.1401909907096719       -1.074066458170394        7.433336384948475         
30311.06987308312         30311.06944444445         7047.035598666338         -75.0439241413879         577.2069975385883         -0.6184361409504422       -1.071169142297174        7.409251422918409         
30311.07056752756         30311.07013888889         6995.640725772432         -139.1183362535687        1020.284718760232         -1.094139370774526        -1.0639215226747          7.354991978979288         
30311.07126197201         30311.07083333334         6915.828800368089         -202.6280950896649        1459.207013631988         -1.565346925809396        -1.052353911438053        7.270785671791327         
